Time [d],pH,Temperature [C],Agitation Rate [rpm],Protein Yield [mg/L]
13.0,7.1,38.0,103.0,597.0
12.0,7.0,37.0,102.0,560.0
10.0,7.1,37.0,101.0,523.0
7.0,6.9,38.0,103.0,473.0
9.0,7.0,36.0,104.0,477.0
11.0,7.0,36.0,97.0,529.0
7.0,6.9,37.0,95.0,453.0
10.0,7.0,37.0,95.0,542.0
10.0,7.0,36.0,107.0,515.0
11.0,6.8,36.0,96.0,530.0
7.0,7.1,37.0,99.0,437.0
8.0,7.0,35.0,99.0,499.0
9.0,6.9,36.0,104.0,472.0
7.0,7.0,37.0,93.0,463.0
13.0,7.0,36.0,100.0,570.0
9.0,7.2,36.0,105.0,476.0
10.0,7.0,38.0,104.0,482.0
9.0,7.1,36.0,102.0,489.0
12.0,7.2,36.0,99.0,565.0
12.0,7.1,36.0,107.0,518.0
11.0,7.1,37.0,93.0,508.0
6.0,6.9,36.0,104.0,389.0
10.0,7.1,36.0,102.0,464.0
11.0,7.0,37.0,102.0,499.0
11.0,7.1,36.0,101.0,579.0
8.0,6.9,37.0,101.0,446.0
13.0,6.9,35.0,104.0,548.0
7.0,7.2,37.0,95.0,404.0
8.0,7.0,36.0,95.0,500.0
11.0,7.0,35.0,101.0,558.0
10.0,7.0,37.0,100.0,509.0
13.0,6.9,36.0,101.0,584.0
10.0,7.2,37.0,106.0,495.0
8.0,6.9,36.0,98.0,464.0
9.0,7.0,36.0,103.0,466.0
8.0,7.0,37.0,102.0,467.0
7.0,7.0,36.0,109.0,459.0
11.0,6.9,37.0,94.0,550.0
11.0,6.9,37.0,98.0,576.0
12.0,7.1,37.0,98.0,573.0
8.0,6.9,36.0,105.0,482.0
13.0,7.1,37.0,97.0,597.0
9.0,6.8,38.0,107.0,445.0
12.0,6.9,37.0,106.0,566.0
9.0,7.0,37.0,103.0,442.0
8.0,6.8,37.0,102.0,506.0
10.0,7.1,38.0,94.0,494.0
11.0,7.0,38.0,101.0,587.0
10.0,6.9,36.0,94.0,532.0
8.0,6.8,37.0,99.0,459.0
7.0,6.8,37.0,101.0,396.0
7.0,7.0,37.0,99.0,408.0
10.0,6.9,37.0,104.0,547.0
11.0,6.8,37.0,99.0,534.0
9.0,7.0,37.0,94.0,455.0
8.0,7.3,37.0,96.0,444.0
11.0,7.0,37.0,95.0,580.0
7.0,7.1,37.0,99.0,481.0
8.0,7.0,37.0,105.0,456.0
11.0,7.1,37.0,102.0,535.0
5.0,6.8,37.0,101.0,410.0
10.0,6.9,37.0,95.0,478.0
8.0,7.0,37.0,109.0,459.0
10.0,7.0,37.0,100.0,495.0
9.0,7.0,37.0,110.0,506.0
10.0,6.9,36.0,97.0,495.0
11.0,7.0,37.0,98.0,495.0
8.0,6.9,36.0,110.0,473.0
12.0,6.7,36.0,96.0,541.0
11.0,6.9,37.0,102.0,500.0
11.0,7.1,36.0,99.0,505.0
12.0,7.2,37.0,97.0,544.0
11.0,7.2,36.0,109.0,568.0
11.0,7.0,37.0,96.0,531.0
10.0,7.1,37.0,104.0,530.0
7.0,7.1,37.0,104.0,378.0
9.0,6.9,37.0,96.0,472.0
8.0,6.8,37.0,92.0,432.0
7.0,7.0,36.0,93.0,429.0
10.0,6.8,37.0,97.0,530.0
8.0,7.0,37.0,101.0,460.0
8.0,7.1,37.0,101.0,422.0
8.0,6.8,36.0,99.0,476.0
10.0,7.0,37.0,100.0,492.0
10.0,7.1,36.0,104.0,522.0
12.0,7.0,37.0,103.0,540.0
9.0,7.1,36.0,102.0,512.0
11.0,7.1,37.0,98.0,535.0
12.0,7.2,36.0,103.0,577.0
12.0,7.0,37.0,101.0,566.0
5.0,7.1,36.0,97.0,448.0
12.0,7.0,36.0,98.0,550.0
10.0,6.9,36.0,105.0,490.0
10.0,7.0,36.0,107.0,489.0
10.0,6.9,35.0,98.0,498.0
10.0,6.9,37.0,92.0,525.0
10.0,6.9,37.0,102.0,495.0
9.0,6.7,36.0,96.0,520.0
6.0,7.0,36.0,103.0,419.0
9.0,6.8,36.0,98.0,470.0
8.0,7.0,37.0,109.0,451.0
11.0,7.2,37.0,100.0,530.0
9.0,6.9,36.0,104.0,492.0
10.0,6.9,37.0,95.0,477.0
8.0,7.2,36.0,90.0,492.0
9.0,7.1,36.0,101.0,468.0
9.0,7.1,37.0,101.0,493.0
7.0,7.0,36.0,103.0,457.0
10.0,7.1,36.0,98.0,494.0
9.0,6.9,35.0,95.0,491.0
7.0,6.9,37.0,94.0,490.0
5.0,7.1,37.0,102.0,399.0
10.0,6.9,35.0,103.0,527.0
9.0,7.1,37.0,96.0,474.0
9.0,7.3,36.0,98.0,450.0
9.0,6.8,37.0,97.0,532.0
13.0,6.9,37.0,92.0,573.0
9.0,7.1,36.0,101.0,545.0
10.0,7.0,37.0,103.0,486.0
7.0,7.1,37.0,99.0,463.0
12.0,6.9,37.0,94.0,565.0
11.0,7.0,37.0,99.0,549.0
11.0,7.0,37.0,105.0,576.0
10.0,7.0,36.0,109.0,512.0
11.0,7.0,38.0,101.0,559.0
10.0,6.9,36.0,97.0,475.0
11.0,6.9,36.0,92.0,514.0
9.0,7.2,36.0,94.0,543.0
7.0,7.0,36.0,100.0,429.0
11.0,7.0,37.0,101.0,552.0
6.0,7.0,37.0,101.0,406.0
9.0,7.0,37.0,99.0,474.0
9.0,6.9,36.0,94.0,453.0
8.0,6.9,36.0,94.0,425.0
11.0,7.2,36.0,101.0,567.0
9.0,7.0,37.0,97.0,488.0
9.0,7.1,36.0,105.0,450.0
10.0,6.9,37.0,94.0,499.0
9.0,7.2,36.0,107.0,500.0
12.0,7.0,37.0,97.0,536.0
10.0,7.1,37.0,101.0,498.0
9.0,7.1,36.0,101.0,451.0
6.0,6.9,37.0,99.0,377.0
7.0,6.8,36.0,92.0,480.0
11.0,6.9,36.0,98.0,542.0
9.0,7.2,36.0,106.0,487.0
9.0,7.2,36.0,95.0,472.0
12.0,7.0,37.0,93.0,588.0
7.0,7.0,37.0,99.0,443.0
8.0,7.1,37.0,98.0,481.0
9.0,7.0,37.0,95.0,482.0
11.0,6.8,36.0,97.0,515.0
8.0,7.2,36.0,98.0,457.0
8.0,7.1,37.0,98.0,429.0
7.0,6.7,37.0,101.0,411.0
11.0,7.0,36.0,103.0,585.0
11.0,7.0,36.0,102.0,502.0
9.0,7.1,36.0,101.0,478.0
10.0,7.0,36.0,107.0,515.0
7.0,6.9,37.0,104.0,469.0
9.0,7.0,36.0,90.0,545.0
12.0,7.0,36.0,99.0,547.0
10.0,7.0,36.0,94.0,483.0
14.0,7.0,36.0,97.0,622.0
8.0,7.2,37.0,103.0,469.0
11.0,6.9,36.0,99.0,574.0
9.0,7.0,36.0,98.0,509.0
11.0,6.8,36.0,105.0,506.0
9.0,7.1,37.0,94.0,494.0
8.0,7.1,37.0,100.0,485.0
8.0,7.1,37.0,102.0,473.0
14.0,7.1,36.0,100.0,574.0
9.0,7.1,35.0,95.0,447.0
6.0,7.0,36.0,100.0,369.0
8.0,7.1,37.0,103.0,486.0
11.0,7.0,36.0,101.0,524.0
9.0,7.1,37.0,101.0,431.0
12.0,7.0,36.0,101.0,543.0
11.0,6.8,36.0,101.0,493.0
9.0,7.1,37.0,95.0,485.0
9.0,7.2,37.0,99.0,456.0
8.0,6.9,37.0,102.0,439.0
8.0,7.0,36.0,90.0,466.0
7.0,6.9,37.0,103.0,436.0
12.0,7.0,37.0,101.0,553.0
12.0,7.0,35.0,96.0,593.0
7.0,6.9,36.0,97.0,504.0
7.0,7.0,37.0,99.0,466.0
6.0,6.8,37.0,102.0,413.0
8.0,6.9,36.0,99.0,476.0
5.0,6.9,36.0,105.0,368.0
7.0,6.9,36.0,102.0,427.0
12.0,6.8,37.0,97.0,533.0
9.0,7.1,35.0,98.0,490.0
11.0,7.1,36.0,101.0,567.0
9.0,6.8,37.0,103.0,532.0
13.0,6.9,36.0,103.0,606.0
10.0,6.9,36.0,100.0,526.0
9.0,6.9,36.0,101.0,466.0
14.0,6.8,38.0,100.0,606.0
9.0,7.1,37.0,103.0,498.0
7.0,7.0,36.0,96.0,442.0
10.0,7.1,38.0,102.0,554.0
9.0,7.1,36.0,93.0,477.0
11.0,7.2,37.0,102.0,528.0
8.0,6.8,36.0,101.0,468.0
11.0,7.2,36.0,100.0,583.0
11.0,7.2,37.0,91.0,490.0
8.0,7.1,36.0,106.0,449.0
10.0,7.3,36.0,104.0,537.0
8.0,7.0,37.0,100.0,445.0
14.0,7.1,36.0,102.0,647.0
8.0,6.9,36.0,96.0,447.0
9.0,7.1,37.0,102.0,506.0
8.0,7.0,35.0,106.0,449.0
9.0,6.9,36.0,95.0,496.0
9.0,7.3,36.0,110.0,471.0
11.0,7.0,36.0,98.0,491.0
8.0,7.0,36.0,103.0,492.0
9.0,7.0,37.0,97.0,478.0
7.0,6.9,37.0,102.0,412.0
8.0,7.1,36.0,95.0,435.0
14.0,7.1,37.0,97.0,579.0
11.0,7.0,37.0,99.0,578.0
8.0,6.7,36.0,97.0,440.0
7.0,7.1,37.0,99.0,425.0
8.0,7.0,38.0,104.0,501.0
9.0,6.9,37.0,95.0,487.0
10.0,7.1,37.0,95.0,501.0
8.0,7.1,36.0,100.0,476.0
7.0,6.9,36.0,98.0,435.0
12.0,7.3,37.0,96.0,541.0
10.0,6.9,37.0,101.0,551.0
9.0,6.8,36.0,98.0,491.0
9.0,6.9,36.0,101.0,474.0
9.0,7.2,35.0,100.0,440.0
5.0,7.0,37.0,99.0,355.0
10.0,7.0,36.0,100.0,479.0
8.0,7.0,36.0,104.0,399.0
8.0,6.9,37.0,105.0,483.0
8.0,6.9,37.0,99.0,473.0
11.0,6.9,37.0,96.0,545.0
7.0,7.1,38.0,94.0,406.0
7.0,7.1,37.0,91.0,421.0
11.0,6.9,36.0,95.0,520.0
11.0,7.0,36.0,97.0,533.0
8.0,7.1,38.0,100.0,447.0
11.0,6.9,36.0,92.0,492.0
9.0,6.9,36.0,106.0,514.0
10.0,6.9,38.0,104.0,529.0
7.0,6.8,38.0,105.0,440.0
11.0,7.0,36.0,98.0,561.0
12.0,6.9,37.0,101.0,582.0
11.0,7.1,36.0,96.0,560.0
11.0,7.0,36.0,106.0,527.0
5.0,7.0,36.0,95.0,379.0
10.0,7.0,36.0,98.0,499.0
9.0,6.9,36.0,106.0,521.0
9.0,7.0,37.0,110.0,475.0
8.0,7.0,38.0,100.0,445.0
10.0,6.9,37.0,98.0,516.0
10.0,7.1,37.0,90.0,530.0
9.0,7.1,37.0,107.0,503.0
9.0,7.0,36.0,101.0,459.0
12.0,7.2,37.0,92.0,558.0
8.0,6.9,36.0,103.0,473.0
11.0,7.1,36.0,102.0,532.0
10.0,7.0,36.0,99.0,500.0
8.0,7.0,37.0,98.0,456.0
9.0,6.9,37.0,103.0,525.0
8.0,7.1,37.0,101.0,480.0
11.0,7.0,37.0,102.0,495.0
10.0,7.1,37.0,105.0,476.0
8.0,6.8,37.0,105.0,489.0
8.0,6.9,37.0,103.0,443.0
10.0,6.9,37.0,102.0,526.0
11.0,6.9,37.0,95.0,548.0
9.0,6.9,35.0,96.0,518.0
10.0,7.0,37.0,103.0,478.0
9.0,7.0,36.0,103.0,470.0
10.0,7.0,35.0,102.0,507.0
9.0,6.9,36.0,103.0,493.0
10.0,7.0,37.0,98.0,489.0
7.0,7.1,36.0,102.0,418.0
11.0,6.9,37.0,96.0,512.0
9.0,7.0,37.0,100.0,491.0
10.0,7.0,36.0,104.0,533.0
9.0,7.1,36.0,97.0,478.0
10.0,7.0,37.0,108.0,509.0
8.0,7.0,36.0,105.0,399.0
12.0,6.9,38.0,105.0,523.0
6.0,7.0,36.0,99.0,470.0
8.0,6.9,36.0,94.0,410.0
10.0,7.1,37.0,97.0,543.0
12.0,7.0,37.0,102.0,555.0
10.0,7.0,37.0,99.0,462.0
9.0,6.9,37.0,103.0,524.0
7.0,7.1,37.0,101.0,467.0
9.0,7.1,36.0,98.0,478.0
9.0,7.1,36.0,104.0,520.0
13.0,7.3,37.0,105.0,562.0
11.0,7.0,36.0,97.0,528.0
7.0,7.1,35.0,102.0,435.0
13.0,7.0,37.0,101.0,580.0
9.0,7.0,38.0,101.0,493.0
8.0,7.0,37.0,100.0,469.0
12.0,7.0,36.0,95.0,548.0
9.0,7.1,37.0,106.0,505.0
9.0,7.0,35.0,96.0,468.0
10.0,7.0,38.0,97.0,511.0
11.0,7.1,35.0,103.0,520.0
11.0,7.2,37.0,101.0,545.0
7.0,6.9,37.0,97.0,476.0
13.0,6.8,37.0,97.0,567.0
11.0,6.9,37.0,99.0,505.0
9.0,7.0,36.0,98.0,522.0
8.0,7.0,36.0,103.0,471.0
8.0,7.0,36.0,95.0,441.0
10.0,7.1,37.0,101.0,499.0
8.0,7.1,37.0,106.0,447.0
8.0,7.0,37.0,101.0,489.0
11.0,6.9,38.0,96.0,551.0
10.0,7.0,37.0,97.0,531.0
9.0,7.0,36.0,100.0,488.0
11.0,7.0,37.0,98.0,479.0
12.0,6.8,36.0,105.0,527.0
8.0,6.9,37.0,93.0,457.0
8.0,6.9,37.0,107.0,406.0
11.0,7.0,35.0,92.0,533.0
11.0,7.0,37.0,100.0,506.0
10.0,7.1,37.0,96.0,525.0
12.0,6.9,36.0,103.0,544.0
8.0,6.9,36.0,97.0,478.0
7.0,7.1,36.0,95.0,441.0
8.0,7.0,37.0,99.0,464.0
10.0,7.0,37.0,98.0,480.0
8.0,7.1,36.0,92.0,480.0
9.0,7.1,36.0,102.0,538.0
8.0,7.0,36.0,90.0,413.0
8.0,7.0,38.0,105.0,443.0
8.0,7.1,36.0,99.0,496.0
10.0,7.0,37.0,104.0,528.0
11.0,6.9,37.0,98.0,527.0
9.0,7.0,38.0,97.0,495.0
9.0,6.9,37.0,103.0,497.0
8.0,6.9,36.0,98.0,458.0
10.0,6.8,36.0,94.0,503.0
10.0,6.9,37.0,100.0,524.0
12.0,7.2,37.0,94.0,575.0
8.0,6.9,36.0,100.0,478.0
10.0,7.1,37.0,106.0,531.0
10.0,7.0,36.0,104.0,503.0
9.0,6.9,36.0,100.0,522.0
11.0,7.2,36.0,99.0,500.0
7.0,7.1,37.0,99.0,422.0
13.0,6.8,37.0,97.0,570.0
7.0,7.1,37.0,101.0,403.0
11.0,6.9,37.0,99.0,554.0
7.0,7.0,37.0,98.0,423.0
12.0,7.1,37.0,101.0,533.0
9.0,7.0,37.0,92.0,505.0
10.0,7.1,36.0,108.0,527.0
10.0,7.1,36.0,103.0,487.0
11.0,6.8,36.0,94.0,512.0
9.0,6.9,36.0,100.0,483.0
5.0,7.0,36.0,95.0,347.0
8.0,6.9,37.0,98.0,440.0
10.0,7.0,38.0,96.0,496.0
9.0,7.1,36.0,104.0,476.0
11.0,7.0,37.0,92.0,519.0
11.0,6.9,36.0,99.0,539.0
9.0,7.0,37.0,93.0,527.0
7.0,6.9,37.0,100.0,447.0
12.0,6.9,37.0,99.0,594.0
11.0,6.9,36.0,94.0,567.0
9.0,7.0,37.0,106.0,492.0
13.0,7.0,37.0,106.0,559.0
9.0,7.0,36.0,98.0,451.0
7.0,6.9,38.0,102.0,444.0
9.0,7.0,36.0,99.0,483.0
11.0,6.9,36.0,101.0,522.0
8.0,6.9,37.0,106.0,467.0
13.0,7.0,36.0,99.0,612.0
8.0,6.8,36.0,107.0,457.0
11.0,7.1,36.0,99.0,542.0
10.0,7.3,37.0,100.0,507.0
9.0,7.1,38.0,108.0,473.0
11.0,6.9,36.0,101.0,595.0
7.0,7.0,37.0,92.0,399.0
12.0,6.8,37.0,101.0,554.0
9.0,7.0,37.0,95.0,486.0
9.0,7.1,37.0,93.0,471.0
11.0,7.1,37.0,96.0,558.0
11.0,6.9,37.0,101.0,571.0
11.0,7.0,36.0,96.0,528.0
13.0,7.1,36.0,94.0,610.0
11.0,7.2,36.0,98.0,526.0
12.0,6.9,37.0,102.0,564.0
9.0,6.9,37.0,97.0,520.0
10.0,7.0,37.0,95.0,490.0
11.0,6.7,37.0,91.0,527.0
9.0,6.9,35.0,97.0,533.0
10.0,7.0,37.0,103.0,492.0
10.0,6.9,36.0,104.0,519.0
11.0,6.8,37.0,103.0,527.0
9.0,7.0,37.0,99.0,467.0
9.0,6.9,37.0,101.0,494.0
8.0,7.1,36.0,105.0,442.0
8.0,6.9,37.0,97.0,501.0
12.0,7.0,35.0,101.0,546.0
9.0,7.0,37.0,93.0,490.0
11.0,7.1,36.0,103.0,534.0
7.0,6.7,35.0,98.0,441.0
6.0,7.0,37.0,95.0,405.0
8.0,7.1,38.0,103.0,451.0
12.0,7.0,36.0,96.0,533.0
11.0,6.8,37.0,97.0,532.0
10.0,7.0,36.0,106.0,527.0
8.0,7.0,35.0,96.0,409.0
9.0,7.0,36.0,97.0,474.0
9.0,6.9,37.0,97.0,486.0
9.0,6.9,37.0,103.0,493.0
5.0,7.0,37.0,93.0,374.0
8.0,6.9,37.0,105.0,464.0
9.0,6.8,37.0,99.0,482.0
12.0,6.9,36.0,99.0,517.0
10.0,7.0,36.0,96.0,530.0
12.0,6.9,36.0,99.0,566.0
9.0,7.0,36.0,106.0,459.0
9.0,7.0,36.0,101.0,526.0
5.0,7.1,36.0,96.0,403.0
10.0,7.3,36.0,99.0,502.0
10.0,7.1,37.0,102.0,551.0
13.0,6.8,37.0,100.0,589.0
9.0,6.7,36.0,99.0,497.0
10.0,7.0,36.0,102.0,489.0
8.0,7.0,37.0,101.0,454.0
7.0,6.9,37.0,96.0,425.0
8.0,7.0,37.0,92.0,453.0
9.0,6.9,35.0,102.0,425.0
12.0,7.0,36.0,107.0,583.0
10.0,7.0,37.0,97.0,470.0
8.0,7.0,37.0,99.0,478.0
10.0,6.8,37.0,105.0,472.0
10.0,6.9,37.0,107.0,512.0
8.0,7.0,36.0,100.0,440.0
12.0,6.8,37.0,105.0,547.0
6.0,7.2,36.0,103.0,373.0
9.0,6.9,37.0,98.0,475.0
11.0,7.2,36.0,92.0,544.0
7.0,6.9,36.0,96.0,444.0
10.0,7.0,36.0,101.0,520.0
