wine,alcohol,color_intensity,flavanoids,od280_od315_ratio,proline_malic_acid_ratio
wine_1,12.34,2.8,2.11,3.38,178.77551020408163
wine_1,11.82,2.06,1.64,2.44,241.27906976744185
wine_1,12.51,2.94,1.92,3.57,388.4393063583815
wine_1,12.42,2.7,1.84,3.3,123.52941176470588
wine_1,12.25,3.4,2.03,3.17,294.7976878612717
wine_1,12.72,3.3,1.76,2.42,278.85714285714283
wine_1,12.22,2.7,2.04,3.02,241.86046511627907
wine_1,11.61,2.65,2.92,3.26,503.7037037037037
wine_1,11.46,2.9,2.58,2.81,150.26737967914437
wine_1,12.52,2.0,2.27,2.78,133.7448559670782
wine_1,11.76,3.8,2.03,2.5,226.49253731343282
wine_1,11.41,3.08,2.01,2.31,586.4864864864865
wine_1,12.08,2.9,2.29,3.19,276.9784172661871
wine_1,11.03,1.9,2.17,2.87,269.5364238410596
wine_1,11.82,1.95,1.6,3.33,336.734693877551
wine_1,12.42,2.06,2.09,2.96,214.28571428571428
wine_1,12.77,3.4,1.25,2.12,108.45481049562682
wine_1,12.0,1.28,1.64,3.05,164.43148688046645
wine_1,11.45,3.25,2.79,3.39,260.4166666666667
wine_1,11.56,6.0,5.08,3.69,226.82926829268294
wine_1,12.42,2.08,2.13,3.12,82.39277652370204
wine_1,13.05,2.6,2.65,3.1,65.51724137931035
wine_1,11.87,2.8,3.03,3.64,88.16705336426915
wine_1,12.07,2.76,2.65,3.28,175.0
wine_1,12.43,3.94,3.15,2.84,230.0653594771242
wine_1,11.79,3.0,2.24,2.44,218.7793427230047
wine_1,12.37,2.12,2.45,2.78,209.8159509202454
wine_1,12.04,2.6,1.75,2.57,134.88372093023256
wine_2,12.86,4.1,1.25,1.29,466.66666666666663
wine_2,12.88,5.4,1.22,1.42,177.25752508361202
wine_2,12.81,5.7,1.09,1.36,242.4242424242424
wine_2,12.7,5.0,1.2,1.29,169.01408450704227
wine_2,12.51,5.45,0.58,1.51,524.1935483870968
wine_2,12.6,7.1,0.66,1.58,282.520325203252
wine_2,12.25,3.85,0.47,1.27,152.54237288135593
wine_2,12.53,5.0,0.6,1.69,93.46642468239565
wine_2,13.49,5.7,0.48,1.82,161.5598885793872
wine_2,12.84,4.92,0.6,2.15,199.32432432432432
wine_2,12.93,4.6,0.5,2.31,213.52313167259786
wine_2,13.36,5.6,0.5,2.47,304.6875
wine_2,13.52,4.35,0.52,2.06,164.0378548895899
wine_2,13.62,4.4,0.8,2.05,111.1111111111111
wine_2,12.25,8.21,0.78,2.0,220.36082474226805
wine_2,13.16,4.0,0.55,1.68,232.49299719887955
wine_2,13.88,4.9,0.34,1.33,82.34126984126983
wine_2,12.87,7.65,0.65,1.86,135.57483731019522
wine_2,13.32,8.42,0.76,1.62,200.61728395061726
wine_2,13.08,9.4,1.39,1.33,141.02564102564102
wine_2,13.5,8.6,1.57,1.3,160.25641025641025
wine_2,12.79,10.8,1.36,1.47,179.77528089887642
wine_2,13.11,7.1,1.28,1.33,223.6842105263158
wine_2,13.23,10.52,0.83,1.51,204.54545454545456
wine_2,12.58,7.6,0.58,1.55,496.1240310077519
wine_2,13.17,7.9,0.63,1.48,139.6917148362235
wine_2,13.84,9.01,0.83,1.64,116.50485436893203
wine_2,12.45,7.5,0.58,1.73,290.42904290429044
wine_2,14.34,13.0,1.31,1.96,392.8571428571429
wine_2,13.48,11.75,1.1,1.78,371.25748502994014
wine_2,12.36,7.65,0.92,1.58,135.77023498694516
wine_2,13.69,5.88,0.56,1.82,208.58895705521473
wine_2,12.85,5.58,0.6,2.11,174.3119266055046
wine_2,12.96,5.28,0.7,1.75,195.65217391304347
wine_2,13.78,9.58,0.68,1.68,222.82608695652175
wine_2,13.73,6.62,0.47,1.75,119.26605504587155
wine_2,13.45,10.68,0.92,1.56,187.83783783783784
wine_2,12.82,10.26,0.66,1.75,203.2640949554896
wine_2,13.58,8.66,0.84,1.8,290.69767441860466
wine_2,13.4,8.5,0.96,1.92,136.95652173913044
wine_2,12.2,5.5,0.49,1.83,168.31683168316832
wine_2,12.77,9.9,0.51,1.63,196.65271966527195
wine_2,14.16,9.7,0.7,1.71,262.9482071713148
wine_2,13.71,7.7,0.61,1.74,130.97345132743362
wine_2,13.4,7.3,0.75,1.56,191.8158567774936
wine_2,13.27,10.2,0.69,1.56,195.09345794392522
wine_2,13.17,9.3,0.68,1.62,324.3243243243243
wine_2,14.13,9.2,0.76,1.6,136.58536585365854
